PRODUK,JENIS_PEKERJAAN,TARGET,,,
KN0061,TAPPING,,,,
,,,,,
KN0062,PRESS,3780,,,
KN0062,BUBUT,490,,,
KN0062,SANDER,6300,,,
KN0062,CHAMFER,,,,
KN0062,TAPPING,700,,,
,,,,,
KN0063-1,PRESS,2500,,,
KN0063-1,DABO + SHAVING,,,,
KN0063-1,SANDER,2500,,,
KN0063-1,GEDUK,350,,,
KN0063-1,DRILL,400,,,
KN0063-1,CHAMFER 22,350,,,
,,,,,
KN0063-2,PRESS,2500,,,
KN0063-2,DABO + SHAVING,,,,
KN0063-2,SANDER,2500,,,
KN0063-2,CHAMFER & RESTRIKE,,,,
KN0063-2,DRILL,400,,,
,,,,,
KN0064,PRESS,1400,,,
KN0064,LEVELLING,450,,,
KN0064,CHAMFER,380,,,
KN0064,TAPPING,560,,,
KN0064,SANDER,2100,,,
,,,,,
KN0065,PRESS,3000,,,
KN0065,SANDER,2500,,,
,,,,,
KN0066-1,PRESS,1890,,,
KN0066-1,SANDER,,,,
KN0066-1,BENDING,700,,,
,,,,,
KN0066-2,PRESS,1890,,,
KN0066-2,SANDER,,,,
,,,,,
KN0067,PRESS,5600,,,
KN0067,,,,,
,,,,,
KN0068,PRESS,UL,,,
KN0068,SANDER,,,,
KN0068,CHAMFER,,,,
KN0068,TAPPING,0,,,
,,,,,
KN0069,PRESS,1260,,,
KN0069,FACING 95,250,,,
KN0069,FACING CHAMFER,140,,,
KN0069,CHAMFER 10,70,,,
KN0069,TAPPING,70,,,
KN0069,ANTIRUST,,,,
,,,,,
KN0070-1,PRESS,1260,,,
KN0070-1,GROOVING,180,,,
KN0070-1,FACING CHAMFER OD,,,,
KN0070-1,FACING CHAMFER THREAD,,,,
KN0070-1,ANTIRUST,,,,
,,,,,
KN0070-2,PRESS,1260,,,
KN0070-2,FACING CHAMFER OD,180,,,
KN0070-2,FACING CHAMFER THREAD,,,,
KN0070-2,ANTIRUST,,,,
,,,,,
KN0071,PRESS,aida160,,,
KN0071,SANDER,6300,,,
KN0071,CHAMFER,840,,,
KN0071,TAPPING,700,,,
,,,,,
KN0072,PRESS,3500,,,
KN0072,SANDER,2500,,,
KN0072,CHAMFER,630,,,
KN0072,TAPPING,700,,,
KN0072,WASHER,,,,
,,,,,
KN0073,PRESS,4500,,,
KN0073,SANDER,6300,,,
KN0073,CHAMFER,,,,
,,,,,
KN0074,PRESS,,,,
KN0074,BENDING,,,,
,,,,,
KN0075,PRESS,3500,,,
KN0075,SANDER,,,,
KN0075,LEVELLING,,,,
KN0075,GRINDING,2400,,,
KN0075,BRUSH,,,,
KN0075,WASHER,,,,
KN0075,A110T,800,,,
KN0075,WASHER-2,,,,
,,,,,
KN0076,PRESS,3500,,,
KN0076,SANDER,,,,
KN0076,LEVELLING,,,,
KN0076,GRINDING,,,,
KN0076,BRUSH,,,,
